mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	1	0	0	0.0	0	0	StaffText	3/4	1	1	0					SARABANDE						
1	1	0	0	0.0	0	0	Tempo	3/4	1	1	0						𝅘𝅥=98	98.0	𝅘𝅥	98.0	0.0	
1	1	0	0	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	0								
1	1	1	1	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	1	ornamentTrill							
1	1	2	2	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	2								
1	1	0	0	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	3								
2	2	3	3	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	4								
2	2	15/4	15/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	5								
2	2	4	4	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	6								
2	2	5	5	0.25	1/2	1/2	Chord	3/4	1	1	1/16	1/16	1	7								
2	2	21/4	21/4	0.25	9/16	9/16	Chord	3/4	1	1	1/16	1/16	1	8								0
2	2	11/2	11/2	0.25	5/8	5/8	Chord	3/4	1	1	1/16	1/16	1	9								0
2	2	23/4	23/4	0.25	11/16	11/16	Chord	3/4	1	1	1/16	1/16	1	10								
2	2	3	3	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	11								
2	2	3	3	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	12								
3	3	6	6	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	13								
3	3	7	7	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	14	ornamentTrill							
3	3	8	8	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	15								
3	3	6	6	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	16								
4	4	9	9	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	17								
4	4	39/4	39/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	18								
4	4	10	10	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	19								
4	4	43/4	43/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	20								
4	4	11	11	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	21								
4	4	9	9	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	22								
4	4	9	9	1.0	0	0	Chord	3/4	1	3	1/4	1/4	1	23								
5	5	12	12	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	24								
5	5	51/4	51/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	25								
5	5	13	13	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	26								
5	5	55/4	55/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	27								
5	5	14	14	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	28								
5	5	12	12	0.5	0	0	Chord	3/4	1	2	1/8	1/8	1	29								
6	6	15	15	0.75	0	0	Chord	3/4	1	1	3/16	1/8	3/2	30								
6	6	63/4	63/4	0.25	3/16	3/16	Chord	3/4	1	1	1/16	1/16	1	31								
6	6	16	16	0.75	1/4	1/4	Chord	3/4	1	1	3/16	1/8	3/2	32								
6	6	67/4	67/4	0.25	7/16	7/16	Chord	3/4	1	1	1/16	1/16	1	33								
