mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	articulation	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	5/8	StaffText	6/8	1	1	0						GIGUE						
1	0	0	0	0.0	0	5/8	Tempo	6/8	1	1	0							𝅘𝅥.=92	138.0	𝅘𝅥.	92.0	0.0	
1	0	0	0	0.5	0	5/8	Chord	6/8	1	1	1/8		1/8	1	0								
2	1	1/2	1/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	1								
2	1	2	2	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	2								
2	1	5/2	5/2	0.5	1/2	1/2	Chord	6/8	1	1	1/8		1/8	1	3								
2	1	3	3	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	4								
2	1	1/2	1/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	5								
2	1	2	2	0.5	3/8	3/8	Chord	6/8	1	2	1/8		1/8	1	6								
3	2	7/2	7/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	7								
3	2	4	4	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	8								
3	2	9/2	9/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	9								
3	2	5	5	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	10								0
3	2	21/4	21/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	11								0
3	2	11/2	11/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	12								0
3	2	23/4	23/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	13								
3	2	6	6	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	14								
3	2	7/2	7/2	0.5	0	0	Chord	6/8	1	2	1/8		1/8	1	15								
3	2	7/2	7/2	0.5	0	0	Chord	6/8	1	3	1/8		1/8	1	16								
4	3	13/2	13/2	0.5	0	0	Chord	6/8	1	1	1/8		1/8	1	17								
4	3	7	7	0.5	1/8	1/8	Chord	6/8	1	1	1/8		1/8	1	18								
4	3	15/2	15/2	0.5	1/4	1/4	Chord	6/8	1	1	1/8		1/8	1	19								
4	3	8	8	0.5	3/8	3/8	Chord	6/8	1	1	1/8		1/8	1	20								
