mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	13/16	4/4	1	1	C.V{		C	I		V	V						{	M	0	0	1, 5, 2		1	1
2	1	0	0	4/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
2	1	1/4	1/4	4/4	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
2	1	1/2	1/2	4/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
3	2	0	0	4/4	1	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
3	2	1/8	1/8	4/4	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
3	2	1/4	1/4	4/4	1	1	V6		C	I		V6	V		6					M	0	0	5, 2, 1		1	5
3	2	3/8	3/8	4/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
3	2	1/2	1/2	4/4	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
3	2	3/4	3/4	4/4	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
4	3	0	0	4/4	1	1	vi7		C	I		vi7	vi		7					mm7	0	0	3, 0, 4, 1		3	3
4	3	1/4	1/4	4/4	1	1	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
4	3	1/2	1/2	4/4	1	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
4	3	3/4	3/4	4/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
5	4	0	0	4/4	1	1	ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
5	4	1/4	1/4	4/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
5	4	3/8	3/8	4/4	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
5	4	1/2	1/2	4/4	1	1	I|PAC}		C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
5	4	3/4	3/4	4/4	1	1	{		C	I									{		0	0				
6	5	0	0	4/4	1	1	V.V6		C	V		V6	V		6					M	0	0	5, 2, 1		1	5
6	5	1/4	1/4	4/4	1	1	I		C	V		I	I							M	0	0	0, 4, 1		0	0
6	5	1/2	1/2	4/4	1	1	V6		C	V		V6	V		6					M	0	0	5, 2, 1		1	5
7	6	0	0	4/4	1	1	viio6/IV		C	V		viio6/IV	vii	o	6		IV			o	0	0	1, -2, 4		4	1
7	6	1/4	1/4	4/4	1	1	IV6/IV		C	V		IV6/IV	IV		6		IV			M	0	0	2, -1, -2		-2	2
7	6	3/8	3/8	4/4	1	1	viio/IV		C	V		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
7	6	1/2	1/2	4/4	1	1	IV		C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	5/8	5/8	4/4	1	1	V2		C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
7	6	3/4	3/4	4/4	1	1	IV		C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
7	6	7/8	7/8	4/4	1	1	I[viio		C	V	I	viio	vii	o						o	0	0	5, 2, -1		5	5
8	7	0	0	4/4	1	1	I		C	V	I	I	I							M	0	0	0, 4, 1		0	0
8	7	1/8	1/8	4/4	1	1	viio6		C	V	I	viio6	vii	o	6					o	0	0	2, -1, 5		5	2
8	7	1/4	1/4	4/4	1	1	I6		C	V	I	I6	I		6					M	0	0	4, 1, 0		0	4
8	7	3/8	3/8	4/4	1	1	IV]		C	V	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
8	7	1/2	1/2	4/4	1	1	V7		C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
8	7	3/4	3/4	4/4	1	1	I6		C	V		I6	I		6					M	0	0	4, 1, 0		0	4
9	8	0	0	4/4	1	1	viio6(2)		C	V		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
9	8	1/8	1/8	4/4	1	1	V		C	V		V	V							M	0	0	1, 5, 2		1	1
9	8	1/4	1/4	4/4	1	1	vi6		C	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
9	8	1/2	1/2	4/4	1	1	V6(2)		C	V		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
9	8	5/8	5/8	4/4	1	1	V		C	V		V	V							M	0	0	1, 5, 2		1	1
9	8	3/4	3/4	4/4	1	1	IV6		C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
10	9	0	0	4/4	1	1	V7		C	V		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
10	9	1/8	1/8	4/4	1	1	I		C	V		I	I							M	0	0	0, 4, 1		0	0
10	9	1/4	1/4	4/4	1	1	IV		C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
10	9	1/2	1/2	4/4	1	1	viio64		C	V		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
10	9	3/4	3/4	4/4	1	1	IV		C	V		IV	IV							M	0	0	-1, 3, 0		-1	-1
11	10	0	0	4/4	1	1	ii6		C	V		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
11	10	1/4	1/4	4/4	1	1	I6		C	V		I6	I		6					M	0	0	4, 1, 0		0	4
11	10	1/2	1/2	4/4	1	1	viio6		C	V		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
11	10	3/4	3/4	4/4	1	1	vi6		C	V		vi6	vi		6					m	0	0	0, 4, 3		3	0
12	11	0	0	4/4	1	1	V6		C	V		V6	V		6					M	0	0	5, 2, 1		1	5
12	11	1/4	1/4	4/4	1	1	IV6		C	V		IV6	IV		6					M	0	0	3, 0, -1		-1	3
12	11	1/2	1/2	4/4	1	1	V2		C	V		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
12	11	3/4	3/4	4/4	1	1	I6		C	V		I6	I		6					M	0	0	4, 1, 0		0	4
12	11	7/8	7/8	4/4	1	1	V		C	V		V	V							M	0	0	1, 5, 2		1	1
13	12	0	0	4/4	1	1	I		C	V		I	I							M	0	0	0, 4, 1		0	0
13	12	3/8	3/8	4/4	1	1	V		C	V		V	V							M	0	0	1, 5, 2		1	1
13	12	1/2	1/2	4/4	1	1	I|PAC}		C	V		I	I					PAC	}	M	0	0	0, 4, 1		0	0
13	12	13/16	13/16	4/4	1	1	V{		C	V		V	V						{	M	0	0	1, 5, 2		1	1
14	13	0	0	4/4	1	1	I		C	V		I	I							M	0	0	0, 4, 1		0	0
14	13	1/4	1/4	4/4	1	1	I6		C	V		I6	I		6					M	0	0	4, 1, 0		0	4
14	13	1/2	1/2	4/4	1	1	I		C	V		I	I							M	0	0	0, 4, 1		0	0
15	14	0	0	4/4	1	1	vi.i		C	vi		i	i							m	0	1	0, -3, 1		0	0
15	14	1/4	1/4	4/4	1	1	iio6		C	vi		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
15	14	1/2	1/2	4/4	1	1	V		C	vi		V	V							M	0	1	1, 5, 2		1	1
15	14	3/4	3/4	4/4	1	1	i6		C	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
16	15	0	0	4/4	1	1	VIM7		C	vi		VIM7	VI	M	7					MM7	0	1	-4, 0, -3, 1		-4	-4
16	15	1/4	1/4	4/4	1	1	iv	iio6	C	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
16	15	1/2	1/2	4/4	1	1	V7		C	vi		V7	V		7					Mm7	0	1	1, 5, 2, -1		1	1
16	15	3/4	3/4	4/4	1	1	i		C	vi		i	i							m	0	1	0, -3, 1		0	0
17	16	0	0	4/4	1	1	iv	iio6	C	vi		iv	iv							m	0	1	-1, -4, 0		-1	-1
17	16	1/4	1/4	4/4	1	1	#viio		C	vi		#viio	#vii	o						o	0	1	5, 2, -1		5	5
17	16	1/2	1/2	4/4	1	1	V		C	vi		V	V							M	0	1	1, 5, 2		1	1
17	16	3/4	3/4	4/4	1	1	#viio		C	vi		#viio	#vii	o						o	0	1	5, 2, -1		5	5
18	17	0	0	4/4	1	1	i6		C	vi		i6	i		6					m	0	1	-3, 1, 0		0	-3
18	17	1/4	1/4	4/4	1	1	iio6		C	vi		iio6	ii	o	6					o	0	1	-1, -4, 2		2	-1
18	17	3/8	3/8	4/4	1	1	V		C	vi		V	V							M	0	1	1, 5, 2		1	1
18	17	1/2	1/2	4/4	1	1	i|PAC}		C	vi		i	i					PAC	}	m	0	1	0, -3, 1		0	0
18	17	11/16	11/16	4/4	1	1	{		C	vi									{		0	1				
19	18	0	0	4/4	1	1	I.V7/IV		C	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
19	18	1/4	1/4	4/4	1	1	viio/IV		C	I		viio/IV	vii	o			IV			o	0	0	4, 1, -2		4	4
19	18	1/2	1/2	4/4	1	1	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
19	18	3/4	3/4	4/4	1	1	V7/ii		C	I		V7/ii	V		7		ii			Mm7	0	0	3, 7, 4, 1		3	3
20	19	0	0	4/4	1	1	ii		C	I		ii	ii							m	0	0	2, -1, 3		2	2
20	19	1/2	1/2	4/4	1	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
20	19	3/4	3/4	4/4	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	20	0	0	4/4	1	1	viio6(2)		C	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
21	20	1/8	1/8	4/4	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
21	20	1/4	1/4	4/4	1	1	vi6		C	I		vi6	vi		6					m	0	0	0, 4, 3		3	0
21	20	1/2	1/2	4/4	1	1	V6(2)		C	I		V6(2)	V		6	2				M	0	0	5, 2, 3		1	5
21	20	5/8	5/8	4/4	1	1	I6		C	I		I6	I		6					M	0	0	4, 1, 0		0	4
21	20	3/4	3/4	4/4	1	1	IV6		C	I		IV6	IV		6					M	0	0	3, 0, -1		-1	3
22	21	0	0	4/4	1	1	V7		C	I		V7	V		7					Mm7	0	0	1, 5, 2, -1		1	1
22	21	1/8	1/8	4/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
22	21	1/4	1/4	4/4	1	1	IV	ii6	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
22	21	1/2	1/2	4/4	1	1	viio6(2)		C	I		viio6(2)	vii	o	6	2				o	0	0	2, -1, 0		5	2
22	21	7/8	7/8	4/4	1	1	viio6		C	I		viio6	vii	o	6					o	0	0	2, -1, 5		5	2
23	22	0	0	4/4	1	1	I|PAC}		C	I		I	I					PAC	}	M	0	0	0, 4, 1		0	0
23	22	1/8	1/8	4/4	1	1	IV6{		C	I		IV6	IV		6				{	M	0	0	3, 0, -1		-1	3
23	22	1/4	1/4	4/4	1	1	IV	ii6	C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
23	22	1/2	1/2	4/4	1	1	viio64		C	I		viio64	vii	o	64					o	0	0	-1, 5, 2		5	-1
23	22	3/4	3/4	4/4	1	1	IV		C	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
24	23	0	0	4/4	1	1	ii6		C	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
24	23	1/4	1/4	4/4	1	1	I		C	I		I	I							M	0	0	0, 4, 1		0	0
24	23	7/8	7/8	4/4	1	1	V		C	I		V	V							M	0	0	1, 5, 2		1	1
