mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	8.0	0	0	2/2	1	1	Eb.I[I{	Eb	I	I	I	I						{	M	0	0	0, 4, 1		0	0
3	3	8	8	8.0	0	0	2/2	1	1	V7/IV	Eb	I	I	V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
5	5	16	16	8.0	0	0	2/2	1	1	IV	Eb	I	I	IV	IV							M	0	0	-1, 3, 0		-1	-1
7	7	24	24	8.0	0	0	2/2	1	1	V2	Eb	I	I	V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
9	9	32	32	4.0	0	0	2/2	1	1	I]	Eb	I	I	I	I							M	0	0	0, 4, 1		0	0
10	10	36	36	4.0	0	0	2/2	1	1	IM2	Eb	I		IM2	I	M	2					MM7	0	0	5, 0, 4, 1		0	5
11	11	40	40	4.0	0	0	2/2	1	1	vi	Eb	I		vi	vi							m	0	0	3, 0, 4		3	3
12	12	44	44	4.0	0	0	2/2	1	1	vi2	Eb	I		vi2	vi		2					mm7	0	0	1, 3, 0, 4		3	1
13	13	48	48	4.0	0	0	2/2	1	1	V65/V	Eb	I		V65/V	V		65		V			Mm7	0	0	6, 3, 0, 2		2	6
14	14	52	52	4.0	0	0	2/2	1	1	V7/V	Eb	I		V7/V	V		7		V			Mm7	0	0	2, 6, 3, 0		2	2
15	15	56	56	4.0	0	0	2/2	1	1	V	Eb	I		V	V							M	0	0	1, 5, 2		1	1
16	16	60	60	4.0	0	0	2/2	1	1	V2	Eb	I		V2	V		2					Mm7	0	0	-1, 1, 5, 2		1	-1
17	17	64	64	4.0	0	0	2/2	1	1	V65/IV	Eb	I		V65/IV	V		65		IV			Mm7	0	0	4, 1, -2, 0		0	4
18	18	68	68	4.0	0	0	2/2	1	1	V7/IV	Eb	I		V7/IV	V		7		IV			Mm7	0	0	0, 4, 1, -2		0	0
19	19	72	72	4.0	0	0	2/2	1	1	IV	Eb	I		IV	IV							M	0	0	-1, 3, 0		-1	-1
20	20	76	76	4.0	0	0	2/2	1	1	IVM2	Eb	I		IVM2	IV	M	2					MM7	0	0	4, -1, 3, 0		-1	4
21	21	80	80	4.0	0	0	2/2	1	1	#viio43/vi	Eb	I		#viio43/vi	#vii	o	43		vi			o7	0	0	2, -1, 8, 5		8	2
22	22	84	84	4.0	0	0	2/2	1	1	iv2/vi	Eb	I		iv2/vi	iv		2		vi			mm7	0	0	0, 2, -1, 3		2	0
23	23	88	88	4.0	0	0	2/2	1	1	#viio65/vi	Eb	I		#viio65/vi	#vii	o	65		vi			o7	0	0	5, 2, -1, 8		8	5
24	24	92	92	4.0	0	0	2/2	1	1	iv64/vi	Eb	I		iv64/vi	iv		64		vi			m	0	0	3, 2, -1		2	3
25	25	96	96	4.0	0	0	2/2	1	1	#viio7/vi	Eb	I		#viio7/vi	#vii	o	7		vi			o7	0	0	8, 5, 2, -1		8	8
26	26	100	100	4.0	0	0	2/2	1	1	V7(9)/vi	Eb	I		V7(9)/vi	V		7	9	vi			Mm7	0	0	4, 8, 5, 2	-1	4	4
27	27	104	104	8.0	0	0	2/2	1	1	i/vi|IAC}{	Eb	I		i/vi	i				vi	IAC	}{	m	0	0	3, 0, 4		3	3
29	29	112	112	8.0	0	0	2/2	1	1	V2/ii	Eb	I		V2/ii	V		2		ii			Mm7	0	0	1, 3, 7, 4		3	1
31	31	120	120	8.0	0	0	2/2	1	1	ii6	Eb	I		ii6	ii		6					m	0	0	-1, 3, 2		2	-1
33	33	128	128	8.0	0	0	2/2	1	1	#viio7/ii	Eb	I		#viio7/ii	#vii	o	7		ii			o7	0	0	7, 4, 1, -2		7	7
35	35	136	136	4.0	0	0	2/2	1	1	ii	Eb	I		ii	ii							m	0	0	2, -1, 3		2	2
36	36	140	140	4.0	0	0	2/2	1	1	ii2	Eb	I		ii2	ii		2					mm7	0	0	0, 2, -1, 3		2	0
37	37	144	144	8.0	0	0	2/2	1	1	V65	Eb	I		V65	V		65					Mm7	0	0	5, 2, -1, 1		1	5
