mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	0	0	0.25	-1	3/4	1/16	11/16		1			firstMeasure	2
2	1	1/4	3.0	-1	3/4	3/4	0						3
3	2	13/4	3.0	-1	3/4	3/4	0						4
4	3	25/4	3.0	-1	3/4	3/4	0						5
5	4	37/4	3.0	-1	3/4	3/4	0						6
6	5	49/4	3.0	-1	3/4	3/4	0						7
7	6	61/4	3.0	-1	3/4	3/4	0						8
8	7	73/4	3.0	-1	3/4	3/4	0						9
9	8	85/4	3.0	-1	3/4	3/4	0						10
10	9	97/4	3.0	-1	3/4	3/4	0						11
11	10	109/4	3.0	-1	3/4	3/4	0						12
12	11	121/4	3.0	-1	3/4	3/4	0						13
13	12	133/4	3.0	-1	3/4	3/4	0						14
14	13	145/4	3.0	-1	3/4	3/4	0						15
15	14	157/4	3.0	-1	3/4	3/4	0						16
16	15	169/4	3.0	-1	3/4	3/4	0						17
17	16	181/4	2.75	-1	3/4	11/16	0					end	1, 18
18	16	48	0.25	-1	3/4	1/16	11/16		1			start	19
19	17	193/4	3.0	-1	3/4	3/4	0						20
20	18	205/4	3.0	-1	3/4	3/4	0						21
21	19	217/4	3.0	-1	3/4	3/4	0						22
22	20	229/4	3.0	-1	3/4	3/4	0						23
23	21	241/4	3.0	-1	3/4	3/4	0						24
24	22	253/4	3.0	-1	3/4	3/4	0						25
25	23	265/4	3.0	-1	3/4	3/4	0						26
26	24	277/4	3.0	-1	3/4	3/4	0						27
27	25	289/4	3.0	-1	3/4	3/4	0						28
28	26	301/4	3.0	-1	3/4	3/4	0						29
29	27	313/4	3.0	-1	3/4	3/4	0						30
30	28	325/4	3.0	-1	3/4	3/4	0						31
31	29	337/4	3.0	-1	3/4	3/4	0						32
32	30	349/4	3.0	-1	3/4	3/4	0						33
33	31	361/4	3.0	-1	3/4	3/4	0						34
34	32	373/4	2.75	-1	3/4	11/16	0					end	18, -1
