mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	0	0	15/16	4/4	1	1	1/16	1/16	1		6	78		0
2	1	0	0	4/4	1	4	3/16	1/8	3/2		5	59		18
2	1	0	0	4/4	1	3	3/16	1/8	3/2		6	66		16
2	1	0	0	4/4	1	2	3/16	1/8	3/2		2	74		13
2	1	0	0	4/4	1	1	3/16	1/8	3/2		6	78		1
2	1	3/16	3/16	4/4	1	1	1/16	1/16	1		5	83		2
2	1	1/4	1/4	4/4	1	2	3/16	1/8	3/2		4	76		14
2	1	1/4	1/4	4/4	1	1	3/16	1/8	3/2		1	79		3
2	1	7/16	7/16	4/4	1	1	1/32	1/32	1		6	78		4
2	1	15/32	15/32	4/4	1	1	1/32	1/32	1		1	79		5
2	1	1/2	1/2	4/4	1	4	3/16	1/8	3/2		10	58		19
2	1	1/2	1/2	4/4	1	3	3/16	1/8	3/2		6	66		17
2	1	1/2	1/2	4/4	1	1	3/16	1/8	3/2		4	76		6
2	1	1/2	1/2	4/4	1	2	3/16	1/8	3/2		6	78		15
2	1	11/16	11/16	4/4	1	1	1/32	1/32	1		2	74		7
2	1	23/32	23/32	4/4	1	1	1/32	1/32	1		7	73		8
2	1	3/4	3/4	4/4	1	1	3/32	1/16	3/2		2	74		9
2	1	27/32	27/32	4/4	1	1	1/32	1/32	1		5	59		10
2	1	7/8	7/8	4/4	1	1	3/32	1/16	3/2		3	57		11
2	1	31/32	31/32	4/4	1	1	1/32	1/32	1		6	78		12
3	2	0	0	4/4	1	2	3/16	1/8	3/2		1	55		35
3	2	0	0	4/4	1	3	3/16	1/8	3/2		2	62		36
3	2	0	0	4/4	1	2	3/16	1/8	3/2		5	71		35
3	2	0	0	4/4	1	1	3/16	1/8	3/2		6	78		20
3	2	3/16	3/16	4/4	1	1	1/32	1/32	1		1	79		21
3	2	7/32	7/32	4/4	1	1	1/32	1/32	1		6	78		22
3	2	1/4	1/4	4/4	1	1	3/32	1/16	3/2		4	76		23
3	2	11/32	11/32	4/4	1	1	1/32	1/32	1		2	74		24
