mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.25	0	0	2/2	1	1	1/16	1/16	1		3	69	A4	4	0
1	1	1/4	0.25	1/16	1/16	2/2	1	1	1/16	1/16	1		0	72	C5	5	1
1	1	1/2	0.25	1/8	1/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	2
1	1	3/4	0.25	3/16	3/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	3
1	1	1	0.25	1/4	1/4	2/2	1	1	1/16	1/16	1		4	76	E5	5	4
1	1	5/4	0.25	5/16	5/16	2/2	1	1	1/16	1/16	1		2	74	D5	5	5
1	1	3/2	0.25	3/8	3/8	2/2	1	1	1/16	1/16	1		0	72	C5	5	6
1	1	7/4	0.25	7/16	7/16	2/2	1	1	1/16	1/16	1		5	71	B4	4	7
1	1	2	0.25	1/2	1/2	2/2	1	1	1/16	1/16	1		3	69	A4	4	8
1	1	9/4	0.25	9/16	9/16	2/2	1	1	1/16	1/16	1		0	72	C5	5	9
1	1	5/2	0.25	5/8	5/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	10
1	1	11/4	0.25	11/16	11/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	11
1	1	3	0.25	3/4	3/4	2/2	1	1	1/16	1/16	1		4	76	E5	5	12
1	1	13/4	0.25	13/16	13/16	2/2	1	1	1/16	1/16	1		2	74	D5	5	13
1	1	7/2	0.25	7/8	7/8	2/2	1	1	1/16	1/16	1		0	72	C5	5	14
1	1	15/4	0.25	15/16	15/16	2/2	1	1	1/16	1/16	1		5	71	B4	4	15
2	2	4	0.25	0	0	2/2	1	1	1/16	1/16	1		3	69	A4	4	16
2	2	17/4	0.125	1/16	1/16	2/2	1	1	1/32	1/32	1		0	72	C5	5	17
2	2	35/8	0.125	3/32	3/32	2/2	1	1	1/32	1/32	1		2	74	D5	5	18
2	2	9/2	0.25	1/8	1/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	19
2	2	19/4	0.25	3/16	3/16	2/2	1	1	1/16	1/16	1		4	64	E4	4	20
2	2	5	0.25	1/4	1/4	2/2	1	1	1/16	1/16	1		3	69	A4	4	21
2	2	21/4	0.25	5/16	5/16	2/2	1	1	1/16	1/16	1		0	72	C5	5	22
2	2	11/2	0.25	3/8	3/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	23
2	2	23/4	0.25	7/16	7/16	2/2	1	1	1/16	1/16	1		8	68	G#4	4	24
2	2	6	0.25	1/2	1/2	2/2	1	1	1/16	1/16	1		3	69	A4	4	25
2	2	25/4	0.125	9/16	9/16	2/2	1	1	1/32	1/32	1		0	72	C5	5	26
2	2	51/8	0.125	19/32	19/32	2/2	1	1	1/32	1/32	1		2	74	D5	5	27
2	2	13/2	0.25	5/8	5/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	28
2	2	27/4	0.25	11/16	11/16	2/2	1	1	1/16	1/16	1		4	64	E4	4	29
2	2	7	0.25	3/4	3/4	2/2	1	1	1/16	1/16	1		3	69	A4	4	30
2	2	29/4	0.25	13/16	13/16	2/2	1	1	1/16	1/16	1		0	72	C5	5	31
2	2	15/2	0.25	7/8	7/8	2/2	1	1	1/16	1/16	1		4	76	E5	5	32
2	2	31/4	0.25	15/16	15/16	2/2	1	1	1/16	1/16	1		8	68	G#4	4	33
3	3	8	0.25	0	0	2/2	1	1	1/16	1/16	1		3	69	A4	4	34
3	3	33/4	0.125	1/16	1/16	2/2	1	1	1/32	1/32	1		5	71	B4	4	35
3	3	67/8	0.125	3/32	3/32	2/2	1	1	1/32	1/32	1		0	72	C5	5	36
3	3	17/2	0.25	1/8	1/8	2/2	1	1	1/16	1/16	1		2	74	D5	5	37
3	3	35/4	0.125	3/16	3/16	2/2	1	1	1/32	1/32	1		0	72	C5	5	38
3	3	71/8	0.125	7/32	7/32	2/2	1	1	1/32	1/32	1		5	71	B4	4	39
3	3	9	0.25	1/4	1/4	2/2	1	1	1/16	1/16	1		0	72	C5	5	40
3	3	37/4	0.125	5/16	5/16	2/2	1	1	1/32	1/32	1		2	74	D5	5	41
3	3	75/8	0.125	11/32	11/32	2/2	1	1	1/32	1/32	1		4	76	E5	5	42
3	3	19/2	0.25	3/8	3/8	2/2	1	1	1/16	1/16	1		-1	77	F5	5	43
3	3	39/4	0.125	7/16	7/16	2/2	1	1	1/32	1/32	1		4	76	E5	5	44
3	3	79/8	0.125	15/32	15/32	2/2	1	1	1/32	1/32	1		2	74	D5	5	45
3	3	10	0.25	1/2	1/2	2/2	1	1	1/16	1/16	1		4	76	E5	5	46
3	3	41/4	0.25	9/16	9/16	2/2	1	1	1/16	1/16	1		3	81	A5	5	47
3	3	21/2	0.25	5/8	5/8	2/2	1	1	1/16	1/16	1		-1	77	F5	5	48
3	3	43/4	0.25	11/16	11/16	2/2	1	1	1/16	1/16	1		2	74	D5	5	49
3	3	11	0.25	3/4	3/4	2/2	1	1	1/16	1/16	1		4	76	E5	5	50
