mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	1/8	1/8	1		1	55	0
1	1	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	51	1
1	1	1/4	1/4	3/4	1	1	1/8	1/8	1		5	47	2
1	1	3/8	3/8	3/4	1	1	1/8	1/8	1		0	48	3
1	1	1/2	1/2	3/4	1	1	1/4	1/4	1		-4	44	4
2	2	0	0	3/4	1	1	1/8	1/8	1		2	62	5
2	2	1/8	1/8	3/4	1	1	1/8	1/8	1		-2	58	6
2	2	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	7
2	2	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	8
2	2	1/2	1/2	3/4	1	1	1/4	1/4	1		5	47	9
3	3	0	0	3/4	1	1	1/8	1/8	1		-3	63	10
3	3	1/8	1/8	3/4	1	1	1/8	1/8	1		-2	58	11
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	12
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	13
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1		1	43	14
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1		1	55	15
4	4	0	0	3/4	1	1	1/8	1/8	1		-1	53	16
4	4	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	51	17
4	4	1/4	1/4	3/4	1	1	1/8	1/8	1		5	47	18
4	4	3/8	3/8	3/4	1	1	1/8	1/8	1		0	48	19
4	4	1/2	1/2	3/4	1	1	1/4	1/4	1		0	36	20
5	5	0	0	3/4	1	1	1/8	1/8	1		0	48	21
5	5	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	51	22
5	5	1/4	1/4	3/4	1	1	1/8	1/8	1		-2	58	23
5	5	3/8	3/8	3/4	1	1	1/8	1/8	1		-4	56	24
5	5	1/2	1/2	3/4	1	1	1/8	1/8	1		-3	63	25
5	5	5/8	5/8	3/4	1	1	1/8	1/8	1		2	62	26
6	6	0	0	3/4	1	1	1/8	1/8	1		2	50	27
6	6	1/8	1/8	3/4	1	1	1/8	1/8	1		-1	53	28
6	6	1/4	1/4	3/4	1	1	1/8	1/8	1		0	60	29
6	6	3/8	3/8	3/4	1	1	1/8	1/8	1		-2	58	30
6	6	1/2	1/2	3/4	1	1	1/8	1/8	1		2	62	31
6	6	5/8	5/8	3/4	1	1	1/8	1/8	1		0	60	32
7	7	0	0	3/4	1	1	1/8	1/8	1		-2	58	33
7	7	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	56	34
7	7	1/4	1/4	3/4	1	1	1/8	1/8	1		2	50	35
7	7	3/8	3/8	3/4	1	1	1/8	1/8	1		-3	51	36
7	7	1/2	1/2	3/4	1	1	1/8	1/8	1		-2	46	37
7	7	5/8	5/8	3/4	1	1	1/8	1/8	1		2	50	38
8	8	0	0	3/4	1	1	3/4	1/2	3/2		-3	39	39
9	9	0	0	3/4	1	1	1/8	1/8	1		0	60	40
9	9	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	56	41
9	9	1/4	1/4	3/4	1	1	1/8	1/8	1		2	50	42
9	9	3/8	3/8	3/4	1	1	1/8	1/8	1		-3	51	43
9	9	1/2	1/2	3/4	1	1	1/4	1/4	1		-5	37	44
10	10	0	0	3/4	1	1	1/8	1/8	1		0	60	45
10	10	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	56	46
10	10	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	47
10	10	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	48
10	10	1/2	1/2	3/4	1	1	1/4	1/4	1		1	43	49
11	11	0	0	3/4	1	1	1/8	1/8	1		-3	63	50
11	11	1/8	1/8	3/4	1	1	1/8	1/8	1		0	60	51
11	11	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	52
11	11	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	53
11	11	1/2	1/2	3/4	1	1	1/8	1/8	1		0	36	54
11	11	5/8	5/8	3/4	1	1	1/8	1/8	1		2	62	55
12	12	0	0	3/4	1	1	1/8	1/8	1		0	60	56
12	12	1/8	1/8	3/4	1	1	1/8	1/8	1		-2	58	57
12	12	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	58
12	12	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	59
12	12	1/2	1/2	3/4	1	1	1/4	1/4	1		-1	41	60
13	13	0	0	3/4	1	1	1/8	1/8	1		-3	39	61
13	13	1/8	1/8	3/4	1	1	1/8	1/8	1		0	48	62
13	13	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	53	63
13	13	3/8	3/8	3/4	1	1	1/8	1/8	1		-3	51	64
13	13	1/2	1/2	3/4	1	1	1/8	1/8	1		0	60	65
13	13	5/8	5/8	3/4	1	1	1/8	1/8	1		5	59	66
14	14	0	0	3/4	1	1	1/8	1/8	1		2	38	67
14	14	1/8	1/8	3/4	1	1	1/8	1/8	1		2	50	68
14	14	1/4	1/4	3/4	1	1	1/8	1/8	1		1	55	69
14	14	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	70
14	14	1/2	1/2	3/4	1	1	1/8	1/8	1		2	62	71
14	14	5/8	5/8	3/4	1	1	1/8	1/8	1		7	61	72
15	15	0	0	3/4	1	1	1/8	1/8	1		2	62	73
15	15	1/8	1/8	3/4	1	1	1/8	1/8	1		-2	58	74
15	15	1/4	1/4	3/4	1	1	1/8	1/8	1		6	54	75
15	15	3/8	3/8	3/4	1	1	1/8	1/8	1		1	55	76
15	15	1/2	1/2	3/4	1	1	1/8	1/8	1		5	47	77
15	15	5/8	5/8	3/4	1	1	1/8	1/8	1		0	48	78
16	16	0	0	3/4	1	1	1/8	1/8	1		1	43	79
16	16	1/8	1/8	3/4	1	1	1/8	1/8	1		2	50	80
16	16	1/4	1/4	3/4	1	1	1/8	1/8	1		1	55	81
16	16	3/8	3/8	3/4	1	1	1/8	1/8	1		6	54	82
16	16	1/2	1/2	3/4	1	1	1/8	1/8	1		2	62	83
16	16	5/8	5/8	3/4	1	1	1/8	1/8	1		7	61	84
17	17	0	0	3/4	1	1	1/8	1/8	1		-1	65	85
17	17	1/8	1/8	3/4	1	1	1/8	1/8	1		2	62	86
17	17	1/4	1/4	3/4	1	1	1/8	1/8	1		6	54	87
17	17	3/8	3/8	3/4	1	1	1/8	1/8	1		1	55	88
17	17	1/2	1/2	3/4	1	1	1/8	1/8	1		3	45	89
17	17	5/8	5/8	3/4	1	1	1/8	1/8	1		-1	65	90
18	18	0	0	3/4	1	1	1/8	1/8	1		-3	63	91
18	18	1/8	1/8	3/4	1	1	1/8	1/8	1		-4	56	92
18	18	1/4	1/4	3/4	1	1	1/8	1/8	1		4	52	93
18	18	3/8	3/8	3/4	1	1	1/8	1/8	1		-1	53	94
18	18	1/2	1/2	3/4	1	1	1/8	1/8	1		5	47	95
18	18	5/8	5/8	3/4	1	1	1/8	1/8	1		1	55	96
19	19	0	0	3/4	1	1	1/8	1/8	1		-1	53	97
19	19	1/8	1/8	3/4	1	1	1/8	1/8	1		-3	51	98
19	19	1/4	1/4	3/4	1	1	1/8	1/8	1		5	47	99
19	19	3/8	3/8	3/4	1	1	1/8	1/8	1		0	48	100
19	19	1/2	1/2	3/4	1	1	1/8	1/8	1		1	43	101
19	19	5/8	5/8	3/4	1	1	1/8	1/8	1		7	61	102
20	20	0	0	3/4	1	1	1/8	1/8	1		0	36	103
20	20	1/8	1/8	3/4	1	1	1/8	1/8	1		1	43	104
20	20	1/4	1/4	3/4	1	1	1/8	1/8	1		-1	53	105
20	20	3/8	3/8	3/4	1	1	1/8	1/8	1		-3	51	106
20	20	1/2	1/2	3/4	1	1	1/4	1/4	1		2	62	107
