mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	2.0	0	0	3/2	1	3	1/2	1/2	1		2	50	D3	3	5
1	1	0	2.0	0	0	3/2	1	2	1/2	1/2	1		3	57	A3	3	3
1	1	0	2.0	0	0	3/2	1	1	1/2	1/2	1		6	66	F#4	4	0
1	1	2	3.0	1/2	1/2	3/2	1	2	3/4	1/2	3/2		3	57	A3	3	4
1	1	2	3.0	1/2	1/2	3/2	1	1	3/4	1/2	3/2		6	66	F#4	4	1
1	1	5	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		1	67	G4	4	2
2	2	6	2.0	0	0	3/2	1	3	1/2	1/2	1		1	43	G2	2	12
2	2	6	2.0	0	0	3/2	1	4	1/2	1/2	1		1	55	G3	3	13
2	2	6	2.0	0	0	3/2	1	2	1/2	1/2	1		5	59	B3	3	10
2	2	6	1.0	0	0	3/2	1	1	1/4	1/4	1		4	64	E4	4	6
2	2	7	1.0	1/4	1/4	3/2	1	1	1/4	1/4	1		7	61	C#4	4	7
2	2	8	3.0	1/2	1/2	3/2	1	2	3/4	1/2	3/2		6	54	F#3	3	11
2	2	8	3.0	1/2	1/2	3/2	1	1	3/4	1/2	3/2		2	62	D4	4	8
2	2	11	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		5	71	B4	4	9
3	3	12	2.0	0	0	3/2	1	3	1/2	1/2	1		3	45	A2	2	20
3	3	12	2.0	0	0	3/2	1	4	1/2	1/2	1		6	54	F#3	3	22
3	3	12	2.0	0	0	3/2	1	2	1/2	1/2	1		2	62	D4	4	18
3	3	12	1.0	0	0	3/2	1	1	1/4	1/4	1		3	69	A4	4	14
3	3	13	1.0	1/4	1/4	3/2	1	1	1/4	1/4	1		6	66	F#4	4	15
3	3	14	3.0	1/2	1/2	3/2	1	3	3/4	1/2	3/2		4	52	E3	3	21
3	3	14	3.0	1/2	1/2	3/2	1	2	3/4	1/2	3/2		7	61	C#4	4	19
3	3	14	3.0	1/2	1/2	3/2	1	1	3/4	1/2	3/2		1	67	G4	4	16
3	3	17	1.0	5/4	5/4	3/2	1	1	1/4	1/4	1		3	69	A4	4	17
4	4	18	2.0	0	0	3/2	1	3	1/2	1/2	1		2	50	D3	3	29
4	4	18	2.0	0	0	3/2	1	2	1/2	1/2	1		3	57	A3	3	28
4	4	18	1.0	0	0	3/2	1	1	1/4	1/4	1		1	67	G4	4	23
4	4	19	1.0	1/4	1/4	3/2	1	1	1/4	1/4	1		6	66	F#4	4	24
4	4	20	1.0	1/2	1/2	3/2	1	1	1/4	1/4	1		1	67	G4	4	25
4	4	21	1.0	3/4	3/4	3/2	1	1	1/4	1/4	1		4	64	E4	4	26
4	4	22	2.0	1	1	3/2	1	1	1/2	1/2	1		6	66	F#4	4	27
5	5	24	2.0	0	0	3/2	1	3	1/2	1/2	1		5	47	B2	2	35
5	5	24	2.0	0	0	3/2	1	4	1/2	1/2	1		2	50	D3	3	36
