mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
1	0	0	15/16	2/2	1	1	c.i{				c	i		i	i						{	m	1	1	0, -3, 1		0	0	5	4	0.5555555555555556	0.5	0.8125	0.38095238095238093
2	1	1/2	1/2	2/2	1	1	iv				c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	1	1	0.5	0.1875	0.0625	0.75
2	1	3/4	3/4	2/2	1	1	V6				c	i		V6	V		6					M	1	1	5, 2, 1		1	5	0	3	0.0	0.0	0.375	0.0
3	2	0	0	2/2	1	1	i				c	i		i	i							m	1	1	0, -3, 1		0	0	2	4	0.3333333333333333	0.125	0.625	0.16666666666666666
3	2	1/2	1/2	2/2	1	1	iv				c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	0	2	0.0	0.0	0.25	0.0
3	2	3/4	3/4	2/2	1	1	V				c	i		V	V							M	1	1	1, 5, 2		1	1	0	2	0.0	0.0	0.25	0.0
4	3	0	0	2/2	1	1	i6(2)				c	i		i6(2)	i		6	2				m	1	1	-3, 1, 2		0	-3	2	3	0.4	0.0625	0.4375	0.125
4	3	1/4	1/4	2/2	1	1	i				c	i		i	i							m	1	1	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
4	3	1/2	1/2	2/2	1	1	iv6(2)				c	i		iv6(2)	iv		6	2				m	1	1	-4, 0, 1		-1	-4	0	2	0.0	0.0	0.25	0.0
4	3	3/4	3/4	2/2	1	1	iv6				c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	2	2	0.5	0.125	0.125	0.5
5	4	0	0	2/2	1	1	V7				c	i		V7	V		7					Mm7	1	1	1, 5, 2, -1		1	1	4	8	0.3333333333333333	0.375	0.625	0.375
6	5	0	0	2/2	1	1	i				c	i		i	i							m	1	1	0, -3, 1		0	0	7	9	0.4375	0.4375	0.8125	0.35
7	6	0	0	2/2	1	1	V6/VI				c	i		V6/VI	V		6		VI			M	1	1	1, -2, -3		-3	1	5	5	0.5	0.46875	0.78125	0.375
7	6	3/4	3/4	2/2	1	1	V65/VI				c	i		V65/VI	V		65		VI			Mm7	1	1	1, -2, -5, -3		-3	1	1	1	0.5	0.0625	0.1875	0.25
8	7	0	0	2/2	1	1	VI				c	i		VI	VI							M	1	1	-4, 0, -3		-4	-4	5	4	0.5555555555555556	0.625	0.625	0.5
8	7	3/4	3/4	2/2	1	1	V6/iv				c	i		V6/iv	V		6		iv			M	1	1	4, 1, 0		0	4	3	7	0.3	0.15625	1.09375	0.125
9	8	1/2	1/2	2/2	1	1	V7/iv				c	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0	1	4	0.2	0.03125	0.46875	0.0625
10	9	0	0	2/2	1	1	iv				c	i		iv	iv							m	1	1	-1, -4, 0		-1	-1	5	6	0.45454545454545453	0.5625	0.9375	0.375
10	9	3/4	3/4	2/2	1	1	viio6/III				c	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1	1	3	0.25	0.0625	0.1875	0.25
11	10	0	0	2/2	1	1	viio64/III				c	i		viio64/III	vii	o	64		III			o	1	1	-4, 2, -1		2	-4	4	5	0.4444444444444444	0.25	0.5	0.3333333333333333
11	10	3/4	3/4	2/2	1	1	viio6/III				c	i		viio6/III	vii	o	6		III			o	1	1	-1, -4, 2		2	-1	1	3	0.25	0.0625	0.1875	0.25
12	11	0	0	2/2	1	1	V65/III				c	i		V65/III	V		65		III			Mm7	1	1	2, -1, -4, -2		-2	2	4	10	0.2857142857142857	0.4375	1.3125	0.25
13	12	0	0	2/2	1	1	V2/III				c	i		V2/III	V		2		III			Mm7	1	1	-4, -2, 2, -1		-2	-4	6	4	0.6	0.6875	0.5625	0.55
14	13	0	0	2/2	1	1	III				c	i		III	III							M	1	1	-3, 1, -2		-3	-3	3	5	0.375	0.125	0.625	0.16666666666666666
14	13	1/2	1/2	2/2	1	1	V6				c	i		V6	V		6					M	1	1	5, 2, 1		1	5	0	2	0.0	0.0	0.5	0.0
14	13	3/4	3/4	2/2	1	1	#viio				c	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5	1	2	0.3333333333333333	0.03125	0.21875	0.125
15	14	0	0	2/2	1	1	i|IAC}				c	i		i	i					IAC	}	m	1	1	0, -3, 1		0	0	0	3	0.0	0.0	0.6875	0.0
15	14	7/16	7/16	2/2	1	1	v.#viio{				c	v		#viio	#vii	o					{	o	1	1	6, 3, 0		6	6	3	2	0.6	0.4375	0.125	0.7777777777777778
16	15	0	0	2/2	1	1	V2				c	v		V2	V		2					Mm7	1	1	0, 2, 6, 3		2	0	4	4	0.5	0.625	0.625	0.5
16	15	1/2	1/2	2/2	1	1	i6				c	v		i6	i		6					m	1	1	-2, 2, 1		1	-2	4	2	0.6666666666666666	0.25	0.25	0.5
17	16	0	0	2/2	1	1	#viio7/iv				c	v		#viio7/iv	#vii	o	7		iv			o7	1	1	5, 2, -1, -4		5	5	4	7	0.36363636363636365	0.21875	0.53125	0.2916666666666667
17	16	3/4	3/4	2/2	1	1	V6				c	v		V6	V		6					M	1	1	6, 3, 2		2	6	1	1	0.5	0.1875	0.0625	0.75
18	17	0	0	2/2	1	1	i6				c	v		i6	i		6					m	1	1	-2, 2, 1		1	-2	1	2	0.3333333333333333	0.25	0.5	0.3333333333333333
18	17	1/4	1/4	2/2	1	1	iio6				c	v		iio6	ii	o	6					o	1	1	0, -3, 3		3	0	3	1	0.75	0.1875	0.0625	0.75
18	17	1/2	1/2	2/2	1	1	V(#6)				c	v		V(#6)	V			#6				M	1	1	2, 6, 3	5	2	2	0	2	0.0	0.0	0.875	0.0
18	17	7/8	7/8	2/2	1	1	V(b5)				c	v		V(b5)	V			b5				M	1	1	2, 6, -4		2	2	0	1	0.0	0.0	0.125	0.0
19	18	0	0	2/2	1	1	I|PAC}				c	v		I	I					PAC	}	M	1	1	1, 5, 2		1	1	0	5	0.0	0.0	0.875	0.0
19	18	15/16	15/16	2/2	1	1	III.I{				c	III		I	I						{	M	1	0	-3, 1, -2		-3	-3	0	1	0.0	0.0	0.0625	0.0
20	19	0	0	2/2	1	1	I6(^#5)				c	III		I6(^#5)	I		6	^#5				M	1	0	1, 5, -3		-3	1	2	5	0.2857142857142857	0.125	0.875	0.125
20	19	1/2	1/2	2/2	1	1	ii(^#5)				c	III		ii(^#5)	ii			^#5				m	1	0	-1, -4, 7		-1	-1	1	3	0.25	0.1875	0.3125	0.375
21	20	0	0	2/2	1	1	I				c	III		I	I							M	1	0	-3, 1, -2		-3	-3	1	1	0.5	0.0625	0.1875	0.25
21	20	1/4	1/4	2/2	1	1	vii				c	III		vii	vii							m	1	0	2, -1, 3		2	2	1	3	0.25	0.0625	0.1875	0.25
21	20	1/2	1/2	2/2	1	1	#viio7/vi				c	III		#viio7/vi	#vii	o	7		vi			o7	1	0	5, 2, -1, -4		5	5	2	4	0.3333333333333333	0.21875	0.53125	0.2916666666666667
22	21	1/4	1/4	2/2	1	1	vi				c	III		vi	vi							m	1	0	0, -3, 1		0	0	0	2	0.0	0.0	0.25	0.0
22	21	1/2	1/2	2/2	1	1	#viio6/vi				c	III		#viio6/vi	#vii	o	6		vi			o	1	0	2, -1, 5		5	2	2	3	0.4	0.21875	0.28125	0.4375
23	22	0	0	2/2	1	1	IM7(^#5)				c	III		IM7(^#5)	I	M	7	^#5				MM7	1	0	-3, 1, 5, 2		-3	-3	1	5	0.16666666666666666	0.0625	0.6875	0.08333333333333333
23	22	1/2	1/2	2/2	1	1	#viio43/vi				c	III		#viio43/vi	#vii	o	43		vi			o7	1	0	-1, -4, 5, 2		5	-1	0	6	0.0	0.0	0.5	0.0
24	23	0	0	2/2	1	1	V6				c	III		V6	V		6					M	1	0	2, -1, -2		-2	2	5	5	0.5	0.5	0.75	0.4
25	24	0	0	2/2	1	1	IV6				c	III		IV6	IV		6					M	1	0	0, -3, -4		-4	0	2	5	0.2857142857142857	0.3125	0.6875	0.3125
25	24	1/2	1/2	2/2	1	1	viio				c	III		viio	vii	o						o	1	0	2, -1, -4		2	2	2	3	0.4	0.4375	0.3125	0.5833333333333334
26	25	0	0	2/2	1	1	I6(117)				c	III		I6(117)	I		6	117				M	1	0	1, -2, 2	-4	-3	1	2	6	0.25	0.15625	0.84375	0.15625
26	25	1/2	1/2	2/2	1	1	I				c	III		I	I							M	1	0	-3, 1, -2		-3	-3	4	4	0.5	0.21875	0.40625	0.35
27	26	0	0	2/2	1	1	i.#viio2/iv				c	i		#viio2/iv	#vii	o	2		iv			o7	1	1	-5, 4, 1, -2		4	-5	5	7	0.4166666666666667	0.40625	0.59375	0.40625
28	27	0	0	2/2	1	1	V7/iv				c	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0	1	6	0.14285714285714285	0.0625	0.9375	0.0625
28	27	1/2	1/2	2/2	1	1	iv6				c	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4	1	3	0.25	0.1875	0.3125	0.375
29	28	0	0	2/2	1	1	#viio/iv				c	i		#viio/iv	#vii	o			iv			o	1	1	4, 1, -2		4	4	3	2	0.6	0.125	0.375	0.25
